Country,Year,Value,Indicator
Niue,2007,,Average protein supply
Palau,2007,,Average protein supply
Papua New Guinea,2007,,Average protein supply
Samoa,2007,77.0,Average protein supply
Solomon Islands,2007,54.0,Average protein supply
Tokelau,2007,,Average protein supply
Tonga,2007,,Average protein supply
Tuvalu,2007,,Average protein supply
Vanuatu,2007,67.0,Average protein supply
American Samoa,2008,,Average protein supply
Cook Islands,2008,,Average protein supply
Fiji,2008,73.0,Average protein supply
French Polynesia,2008,99.3,Average protein supply
Kiribati,2008,70.7,Average protein supply
Marshall Islands,2008,,Average protein supply
Micronesia (Federated States of),2008,,Average protein supply
Nauru,2008,,Average protein supply
New Caledonia,2008,82.3,Average protein supply
Niue,2008,,Average protein supply
Palau,2008,,Average protein supply
Papua New Guinea,2008,,Average protein supply
Samoa,2008,78.3,Average protein supply
Solomon Islands,2008,54.0,Average protein supply
Tokelau,2008,,Average protein supply
Tonga,2008,,Average protein supply
Tuvalu,2008,,Average protein supply
Vanuatu,2008,68.0,Average protein supply
American Samoa,2009,,Average protein supply
Cook Islands,2009,,Average protein supply
Fiji,2009,71.6,Average protein supply
French Polynesia,2009,98.3,Average protein supply
Kiribati,2009,70.7,Average protein supply
Marshall Islands,2009,,Average protein supply
Micronesia (Federated States of),2009,,Average protein supply
Nauru,2009,,Average protein supply
New Caledonia,2009,83.4,Average protein supply
Niue,2009,,Average protein supply
Palau,2009,,Average protein supply
Papua New Guinea,2009,20.8,Average protein supply
Samoa,2009,81.0,Average protein supply
Solomon Islands,2009,54.7,Average protein supply
Tokelau,2009,,Average protein supply
Tonga,2009,,Average protein supply
Tuvalu,2009,,Average protein supply
Vanuatu,2009,67.7,Average protein supply
American Samoa,2010,,Average protein supply
Cook Islands,2010,,Average protein supply
Fiji,2010,70.3,Average protein supply
French Polynesia,2010,97.7,Average protein supply
Kiribati,2010,72.0,Average protein supply
Marshall Islands,2010,,Average protein supply
Micronesia (Federated States of),2010,,Average protein supply
Nauru,2010,,Average protein supply
New Caledonia,2010,86.0,Average protein supply
Niue,2010,,Average protein supply
Palau,2010,,Average protein supply
Papua New Guinea,2010,41.8,Average protein supply
Samoa,2010,82.7,Average protein supply
Solomon Islands,2010,55.7,Average protein supply
Tokelau,2010,,Average protein supply
Tonga,2010,,Average protein supply
Tuvalu,2010,,Average protein supply
Vanuatu,2010,67.3,Average protein supply
American Samoa,2011,,Average protein supply
Cook Islands,2011,,Average protein supply
Fiji,2011,70.3,Average protein supply
French Polynesia,2011,97.7,Average protein supply
Kiribati,2011,71.3,Average protein supply
Marshall Islands,2011,,Average protein supply
Micronesia (Federated States of),2011,,Average protein supply
Nauru,2011,,Average protein supply
New Caledonia,2011,87.7,Average protein supply
Niue,2011,,Average protein supply
Palau,2011,,Average protein supply
Papua New Guinea,2011,62.0,Average protein supply
Samoa,2011,85.0,Average protein supply
Solomon Islands,2011,56.7,Average protein supply
Tokelau,2011,,Average protein supply
Tonga,2011,,Average protein supply
Tuvalu,2011,,Average protein supply
Vanuatu,2011,67.0,Average protein supply
American Samoa,2012,,Average protein supply
Cook Islands,2012,,Average protein supply
Fiji,2012,70.0,Average protein supply
French Polynesia,2012,97.7,Average protein supply
Kiribati,2012,70.6,Average protein supply
Marshall Islands,2012,,Average protein supply
Micronesia (Federated States of),2012,,Average protein supply
Nauru,2012,,Average protein supply
New Caledonia,2012,88.3,Average protein supply
Niue,2012,,Average protein supply
Palau,2012,,Average protein supply
Papua New Guinea,2012,62.3,Average protein supply
Samoa,2012,85.7,Average protein supply
Solomon Islands,2012,56.3,Average protein supply
Tokelau,2012,,Average protein supply
Tonga,2012,,Average protein supply
Tuvalu,2012,,Average protein supply
Vanuatu,2012,67.0,Average protein supply
American Samoa,2013,,Average protein supply
Cook Islands,2013,,Average protein supply
Fiji,2013,70.0,Average protein supply
French Polynesia,2013,98.0,Average protein supply
Kiribati,2013,69.7,Average protein supply
Marshall Islands,2013,,Average protein supply
Micronesia (Federated States of),2013,,Average protein supply
Nauru,2013,,Average protein supply
New Caledonia,2013,88.7,Average protein supply
Niue,2013,,Average protein supply
Palau,2013,,Average protein supply
Papua New Guinea,2013,63.0,Average protein supply
Samoa,2013,86.3,Average protein supply
Solomon Islands,2013,56.0,Average protein supply
Tokelau,2013,,Average protein supply
Tonga,2013,,Average protein supply
Tuvalu,2013,,Average protein supply
Vanuatu,2013,67.0,Average protein supply
American Samoa,2014,,Average protein supply
Cook Islands,2014,,Average protein supply
Fiji,2014,70.7,Average protein supply
French Polynesia,2014,98.0,Average protein supply
Kiribati,2014,70.3,Average protein supply
Marshall Islands,2014,,Average protein supply
Micronesia (Federated States of),2014,,Average protein supply
Nauru,2014,,Average protein supply
New Caledonia,2014,87.3,Average protein supply
Niue,2014,,Average protein supply
Palau,2014,,Average protein supply
Papua New Guinea,2014,64.4,Average protein supply
Samoa,2014,86.7,Average protein supply
Solomon Islands,2014,55.3,Average protein supply
Tokelau,2014,,Average protein supply
Tonga,2014,,Average protein supply
Tuvalu,2014,,Average protein supply
Vanuatu,2014,67.0,Average protein supply
American Samoa,2015,,Average protein supply
Cook Islands,2015,,Average protein supply
Fiji,2015,71.7,Average protein supply
French Polynesia,2015,97.0,Average protein supply
Kiribati,2015,71.3,Average protein supply
Marshall Islands,2015,,Average protein supply
Micronesia (Federated States of),2015,,Average protein supply
Nauru,2015,,Average protein supply
New Caledonia,2015,86.7,Average protein supply
Niue,2015,,Average protein supply
Palau,2015,,Average protein supply
Papua New Guinea,2015,65.3,Average protein supply
Samoa,2015,87.0,Average protein supply
Solomon Islands,2015,55.3,Average protein supply
Tokelau,2015,,Average protein supply
Tonga,2015,,Average protein supply
Tuvalu,2015,,Average protein supply
Vanuatu,2015,66.0,Average protein supply
American Samoa,2016,,Average protein supply
Cook Islands,2016,,Average protein supply
Fiji,2016,71.3,Average protein supply
French Polynesia,2016,96.0,Average protein supply
Kiribati,2016,71.7,Average protein supply
Marshall Islands,2016,,Average protein supply
Micronesia (Federated States of),2016,,Average protein supply
Nauru,2016,,Average protein supply
New Caledonia,2016,85.7,Average protein supply
Niue,2016,,Average protein supply
Palau,2016,,Average protein supply
Papua New Guinea,2016,65.0,Average protein supply
Samoa,2016,88.0,Average protein supply
Solomon Islands,2016,54.3,Average protein supply
Tokelau,2016,,Average protein supply
Tonga,2016,,Average protein supply
Tuvalu,2016,,Average protein supply
Vanuatu,2016,65.0,Average protein supply
American Samoa,2017,,Average protein supply
Cook Islands,2017,,Average protein supply
Fiji,2017,73.0,Average protein supply
French Polynesia,2017,95.3,Average protein supply
Kiribati,2017,71.0,Average protein supply
Marshall Islands,2017,,Average protein supply
Micronesia (Federated States of),2017,,Average protein supply
Nauru,2017,,Average protein supply
New Caledonia,2017,86.0,Average protein supply
Niue,2017,,Average protein supply
Palau,2017,,Average protein supply
Papua New Guinea,2017,64.3,Average protein supply
Samoa,2017,87.7,Average protein supply
Solomon Islands,2017,53.3,Average protein supply
Tokelau,2017,,Average protein supply
Tonga,2017,,Average protein supply
Tuvalu,2017,,Average protein supply
Vanuatu,2017,64.0,Average protein supply
American Samoa,2018,,Average protein supply
Cook Islands,2018,,Average protein supply
Fiji,2018,75.0,Average protein supply
French Polynesia,2018,95.3,Average protein supply
Kiribati,2018,70.3,Average protein supply
Marshall Islands,2018,,Average protein supply
Micronesia (Federated States of),2018,,Average protein supply
Nauru,2018,,Average protein supply
New Caledonia,2018,86.7,Average protein supply
Niue,2018,,Average protein supply
Palau,2018,,Average protein supply
Papua New Guinea,2018,64.0,Average protein supply
Samoa,2018,88.0,Average protein supply
Solomon Islands,2018,52.3,Average protein supply
Tokelau,2018,,Average protein supply
Tonga,2018,,Average protein supply
Tuvalu,2018,,Average protein supply
Vanuatu,2018,64.0,Average protein supply
American Samoa,2019,,Average protein supply
Cook Islands,2019,,Average protein supply
Fiji,2019,,Average protein supply
French Polynesia,2019,,Average protein supply
Kiribati,2019,,Average protein supply
Marshall Islands,2019,,Average protein supply
Micronesia (Federated States of),2019,,Average protein supply
Nauru,2019,,Average protein supply
New Caledonia,2019,,Average protein supply
Niue,2019,,Average protein supply
Palau,2019,,Average protein supply
Papua New Guinea,2019,,Average protein supply
Samoa,2019,,Average protein supply
Solomon Islands,2019,,Average protein supply
Tokelau,2019,,Average protein supply
Tonga,2019,,Average protein supply
Tuvalu,2019,,Average protein supply
Vanuatu,2019,,Average protein supply
American Samoa,2020,,Average protein supply
Cook Islands,2020,,Average protein supply
Fiji,2020,,Average protein supply
French Polynesia,2020,,Average protein supply
Kiribati,2020,,Average protein supply
Marshall Islands,2020,,Average protein supply
Micronesia (Federated States of),2020,,Average protein supply
Nauru,2020,,Average protein supply
New Caledonia,2020,,Average protein supply
Niue,2020,,Average protein supply
Palau,2020,,Average protein supply
Papua New Guinea,2020,,Average protein supply
Samoa,2020,,Average protein supply
Solomon Islands,2020,,Average protein supply
Tokelau,2020,,Average protein supply
Tonga,2020,,Average protein supply
Tuvalu,2020,,Average protein supply
Vanuatu,2020,,Average protein supply
Fiji,2006,0.0,Direct disaster economic loss
Kiribati,2006,,Direct disaster economic loss
Marshall Islands,2006,,Direct disaster economic loss
Micronesia (Federated States of),2006,,Direct disaster economic loss
Palau,2006,,Direct disaster economic loss
Papua New Guinea,2006,0.0,Direct disaster economic loss
Samoa,2006,,Direct disaster economic loss
Solomon Islands,2006,,Direct disaster economic loss
Tonga,2006,0.0,Direct disaster economic loss
Vanuatu,2006,,Direct disaster economic loss
Fiji,2007,0.0,Direct disaster economic loss
Kiribati,2007,,Direct disaster economic loss
Marshall Islands,2007,,Direct disaster economic loss
Micronesia (Federated States of),2007,,Direct disaster economic loss
Palau,2007,,Direct disaster economic loss
Papua New Guinea,2007,0.01,Direct disaster economic loss
Samoa,2007,,Direct disaster economic loss
Solomon Islands,2007,,Direct disaster economic loss
Tonga,2007,,Direct disaster economic loss
Vanuatu,2007,0.0,Direct disaster economic loss
Fiji,2008,0.0,Direct disaster economic loss
Kiribati,2008,,Direct disaster economic loss
Marshall Islands,2008,0.0,Direct disaster economic loss
Micronesia (Federated States of),2008,,Direct disaster economic loss
Palau,2008,,Direct disaster economic loss
Papua New Guinea,2008,0.01,Direct disaster economic loss
Samoa,2008,0.0,Direct disaster economic loss
Solomon Islands,2008,,Direct disaster economic loss
Tonga,2008,,Direct disaster economic loss
Vanuatu,2008,0.0,Direct disaster economic loss
Fiji,2009,0.01,Direct disaster economic loss
Kiribati,2009,,Direct disaster economic loss
Marshall Islands,2009,,Direct disaster economic loss
Micronesia (Federated States of),2009,,Direct disaster economic loss
Palau,2009,,Direct disaster economic loss
Papua New Guinea,2009,0.0,Direct disaster economic loss
Samoa,2009,0.05,Direct disaster economic loss
Solomon Islands,2009,0.0,Direct disaster economic loss
Tonga,2009,,Direct disaster economic loss
Vanuatu,2009,0.0,Direct disaster economic loss
Fiji,2010,0.01,Direct disaster economic loss
Kiribati,2010,,Direct disaster economic loss
Marshall Islands,2010,,Direct disaster economic loss
Micronesia (Federated States of),2010,,Direct disaster economic loss
Palau,2010,,Direct disaster economic loss
Papua New Guinea,2010,,Direct disaster economic loss
Samoa,2010,,Direct disaster economic loss
Solomon Islands,2010,0.01,Direct disaster economic loss
Tonga,2010,0.01,Direct disaster economic loss
Vanuatu,2010,0.0,Direct disaster economic loss
Fiji,2011,0.0,Direct disaster economic loss
Kiribati,2011,,Direct disaster economic loss
Marshall Islands,2011,,Direct disaster economic loss
Micronesia (Federated States of),2011,,Direct disaster economic loss
Palau,2011,,Direct disaster economic loss
Papua New Guinea,2011,,Direct disaster economic loss
Samoa,2011,,Direct disaster economic loss
Solomon Islands,2011,0.0,Direct disaster economic loss
Tonga,2011,0.0,Direct disaster economic loss
Vanuatu,2011,0.0,Direct disaster economic loss
Fiji,2012,0.04,Direct disaster economic loss
Kiribati,2012,,Direct disaster economic loss
Marshall Islands,2012,,Direct disaster economic loss
Micronesia (Federated States of),2012,,Direct disaster economic loss
Palau,2012,0.03,Direct disaster economic loss
Papua New Guinea,2012,0.0,Direct disaster economic loss
Samoa,2012,,Direct disaster economic loss
Solomon Islands,2012,0.0,Direct disaster economic loss
Tonga,2012,,Direct disaster economic loss
Vanuatu,2012,0.0,Direct disaster economic loss
Fiji,2013,,Direct disaster economic loss
Kiribati,2013,,Direct disaster economic loss
Marshall Islands,2013,,Direct disaster economic loss
Micronesia (Federated States of),2013,,Direct disaster economic loss
Palau,2013,,Direct disaster economic loss
Papua New Guinea,2013,0.0,Direct disaster economic loss
Samoa,2013,,Direct disaster economic loss
Solomon Islands,2013,0.01,Direct disaster economic loss
Tonga,2013,,Direct disaster economic loss
Vanuatu,2013,,Direct disaster economic loss
Fiji,2014,,Direct disaster economic loss
Kiribati,2014,0.0,Direct disaster economic loss
Marshall Islands,2014,0.0,Direct disaster economic loss
Micronesia (Federated States of),2014,,Direct disaster economic loss
Palau,2014,,Direct disaster economic loss
Papua New Guinea,2014,,Direct disaster economic loss
Samoa,2014,,Direct disaster economic loss
Solomon Islands,2014,,Direct disaster economic loss
Tonga,2014,0.04,Direct disaster economic loss
Vanuatu,2014,0.0,Direct disaster economic loss
Fiji,2016,0.08,Direct disaster economic loss
Kiribati,2016,,Direct disaster economic loss
Marshall Islands,2016,0.01,Direct disaster economic loss
